province,zone_sante,zone_sante_origine,site,type,latitude,longitude,latitude_retenue,longitude_retenue,source_retenue,fiabilite,action,reference_utilisee,ecart_origine_reference_m,commentaire,source_terrain,date_releve
Ituri,Bunia,Bunia,Citadelle Clinique,à préciser,1.5507444,30.2449098,1.5507444,30.2449098,liste d'origine,inconnue,garder,,,Aucune référence publique accessible.,,
Ituri,Bunia,Bunia,Solidaire Centre Médical,à préciser,,,,,à relever ou à demander au BCZ,,relever,,,Absent des sources publiques accessibles.,,
Ituri,Bunia,Bunia,CSR Lembabo,CSR,,,,,à relever ou à demander au BCZ,,relever,,,Absent des sources publiques accessibles. Nom d'aire de santé : tester le centroïde GRID3.,,
Ituri,Bunia,Bunia,HGR Bunia,HGR,1.572019798,30.2386863,1.572019798,30.2386863,liste d'origine ; contrôlée sur OSM 2019 way/611897245,bonne,garder,OSM 2019 way/611897245,30,Dans l'emprise hospitalière cartographiée.,,
Ituri,Bunia,Bunia,Rwankole Centre Hospalier,à préciser,1.5390016,30.2713003,1.5390016,30.2713003,liste d'origine,inconnue,garder,,,Sert de base provisoire au CTE Rwankole.,,
Ituri,Bunia,Bunia,Bora-Uzima,à préciser,,,,,à relever ou à demander au BCZ,,relever,,,Absent des sources publiques accessibles.,,
Ituri,Bunia,Bunia,Centre Sante Cnca Saio,à préciser,,,,,à relever ou à demander au BCZ,,relever,,,Absent des sources publiques accessibles. Nom d'aire de santé : tester le centroïde GRID3.,,
Ituri,Bunia,Bunia,Centre Sante Bunia-cité,à préciser,,,,,à relever ou à demander au BCZ,,relever,,,Absent des sources publiques accessibles. Nom d'aire de santé : tester le centroïde GRID3.,,
Ituri,Bunia,Bunia,Centre Sante Rwambuzi,à préciser,,,,,à relever ou à demander au BCZ,,relever,,,Absent des sources publiques accessibles. Nom d'aire de santé : tester le centroïde GRID3.,,
Ituri,Bunia,Bunia,CT Kigonze,CT,,,,,à relever ou à demander au BCZ,,relever,,,Structure de riposte : liste de la commission prise en charge ou relevé terrain.,,
Ituri,Bunia,Bunia,CTE Rwankole,CTE,1.566,30.23,1.5390016,30.2713003,liste brute ligne Rwankole Centre Hospalier,moyenne,remplacer,liste brute ligne Rwankole Centre Hospalier,5485,Valeur d'origine arrondie et à 5.5 km. Le CTE est dans l'enceinte de l'hôpital de Rwankole. Relever l'entrée du CTE.,,
Ituri,Bunia,Bunia,Centre de Traitement Ebola (CTE) Elikia,CTE,1.574774323,30.22651517,1.574774323,30.22651517,liste d'origine,inconnue,garder,,,Aucune référence publique accessible.,,
