zone_sante,site,latitude,longitude
Bunia,Citadelle Clinique,1.5507444,30.2449098
Bunia,Solidaire Centre Médical,,
Bunia,CSR Lembabo,,
Bunia,HGR Bunia,1.572019798,30.2386863
Bunia,Rwankole Centre Hospalier,1.5390016,30.2713003
Bunia,Bora-Uzima,,
Bunia,Centre Sante Cnca Saio,,
Bunia,Centre Sante Bunia-cité,,
Bunia,Centre Sante Rwambuzi,,
Bunia,CT Kigonze,,
Bunia,CTE Rwankole,1.566,30.23
Bunia,Centre de Traitement Ebola (CTE) Elikia,1.574774323,30.22651517
Gety,HGR Getty Etat,1.208943535,30.17427439
Gety,CSR Kagaba,1.290497003,30.22516874
Gety,CSR Avekba,1.21227,30.08778
Gety,CSR Olongba,1.330855,30.1255501
Gety,CSR Songolo,1.41254,30.15704
MONGBWALU,CS Ngamau,2.02793,29.88419
MONGBWALU,CSR Lodjo,2.066892395,30.01678681
MONGBWALU,CS Yedy,2.1679,29.5944
MONGBWALU,CS Andisa,1.97663,29.97002
MONGBWALU,CTE HGR Mongbwalu,,
MONGBWALU,CS Ituri,1.9833,30.0308
Nizi,HGR Nizi,1.755316536,30.30320847
Nizi,Lopa CS,1.73849,30.33978
NIZI,CS CE39,1.73572999,30.30460748
NIZI,CS HERITAGE,1.72631,30.32046
NIZI,CT LINGO,,
NIZI,CS IGA MISSION,1.729120331,30.32295768
Nyankunde,CSR de Tumbyabu,1.52306,30.01637
Nyankunde,CSR Nyankunde,1.43288,30.03327
Nyankunde,CSR Kombokabo,1.46978,30.10769
Nyankunde,CSR de Cezabo,1.366920882,30.03319398
Nyankunde,CTE HGR Nyakunde,,
Nyankunde,CT Sota,,
Nyankunde,ISTM Nyakunde,,
Rwampara,CSR Dele,1.518584473,30.27065342
Rwampara,HGR Rwampara,1.543124623,30.17864272
Rwampara,CSR Police des frontières,,
Rwampara,CSR Hoho,,
Rwampara,Centre Médical Uhuru,,
TCHOMIA,PS du Lac,1.436185724,30.48424235
TCHOMIA,NYAMAZI(CS  NYAMAZI ET PS SALAMA),,
TCHOMIA,CSR de Kasenyi,1.39118,30.43762
TCHOMIA,CSR de Kasenyi cité,1.39581,30.38578
TCHOMIA,HGR Tchomia,1.440187145,30.48443899
TCHOMIA,CSR de Sabe,1.48608,30.45204
TCHOMIA,CSR de Nana,1.42773,30.47389
Bambu,CTE HGR Bambu,,
Aru,,,
Logo,,,
Rwampara,CME,,
Komanda,,,
Niania,,,
